action interval,button state,x,y
1,Scroll,1449,535
1,Scroll,1449,535
1,Scroll,1449,535
3,Scroll,1449,535
4,Move,1447,532
0,Move,1445,527
0,Move,1444,524
0,Move,1441,517
0,Move,1436,510
0,Move,1430,501
0,Move,1425,492
0,Move,1420,483
0,Move,1415,472
0,Move,1411,463
0,Move,1407,453
0,Move,1404,444
0,Move,1403,435
0,Move,1402,428
0,Move,1402,422
0,Move,1401,415
0,Move,1400,409
0,Move,1398,403
0,Move,1397,400
0,Move,1395,397
1,Move,1393,393
0,Move,1392,391
0,Move,1390,390
0,Move,1388,386
0,Move,1388,384
0,Move,1386,382
0,Move,1385,376
0,Move,1384,373
0,Move,1381,368
0,Move,1378,365
0,Move,1375,362
0,Move,1370,357
0,Move,1364,353
0,Move,1358,346
0,Move,1353,340
0,Move,1347,334
0,Move,1342,327
0,Move,1337,321
0,Move,1331,313
0,Move,1325,305
0,Move,1317,298
0,Move,1311,292
0,Move,1304,284
0,Move,1300,279
0,Move,1295,275
0,Move,1294,273
0,Move,1292,271
0,Move,1291,270
0,Move,1289,267
11,Move,1289,266
0,Move,1289,264
0,Move,1289,256
0,Move,1289,249
0,Move,1289,241
0,Move,1290,232
0,Move,1292,223
0,Move,1294,218
0,Move,1296,210
0,Move,1297,207
0,Move,1298,205
0,Move,1299,200
0,Move,1300,197
0,Move,1300,192
0,Move,1301,189
0,Move,1301,188
0,Move,1302,185
0,Move,1305,178
0,Move,1307,173
0,Move,1307,170
0,Move,1309,166
0,Move,1309,162
0,Move,1311,158
0,Move,1312,154
0,Move,1312,154
0,Move,1313,150
0,Move,1313,150
0,Move,1313,145
0,Move,1313,144
0,Move,1314,141
0,Move,1316,138
0,Move,1316,135
0,Move,1317,132
0,Move,1317,126
0,Move,1318,124
0,Move,1318,120
0,Move,1318,115
0,Move,1318,112
0,Move,1318,110
0,Move,1318,107
0,Move,1318,106
0,Move,1318,106
2,Move,1318,105
0,Move,1318,103
0,Move,1318,101
0,Move,1318,97
0,Move,1318,95
0,Move,1319,91
0,Move,1319,88
0,Move,1319,86
0,Move,1321,83
0,Move,1321,82
0,Move,1321,81
0,Move,1321,80
0,Move,1321,79
0,Move,1321,78
0,Move,1321,77
1,Move,1321,75
